speaker,word,label,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,pitch_mean,duration,F1,F2,F3,energy_mean,rule_based_score,mfcc_similarity,pitch_similarity,duration_similarity,formant_similarity
Speaker1-2nd,ثلاثة,correct,-180.51413,71.14848,-1.0620075,11.9707575,7.756587,-17.347286,-1.4012129,2.12231,17.0516,-4.1896334,-0.2222198,-2.0565329,116.99042628497938,0.896,818.4304653295223,2005.5585170669133,3230.5484341569077,5.821682929992676,81.6,0.599,0.995,0.963,0.924
Speaker1-2nd,حديقة,correct,-226.92458,86.191765,-13.617944,18.215157,-9.055051,-6.9416494,7.6735535,-3.1034856,-1.6991334,-9.514711,1.892987,-11.878051,116.72540351333157,0.928,822.5514732550886,2040.888933062674,3243.8938567461964,2.3465893268585205,69.1,0.386,0.982,0.829,0.871
Speaker1-2nd,خالد,correct,-203.96533,99.597855,6.997098,0.82325876,3.3779433,-5.258335,3.5190003,-11.699477,9.338337,-15.461798,0.5042128,-2.396816,115.10463115429232,0.896,757.6819719340454,1768.6938604550462,3235.3258722829137,6.862185955047607,77.3,0.519,0.975,0.963,0.891
Speaker1-2nd,صديق,correct,-242.61395,65.42762,29.497364,6.1850724,6.9402647,-2.654163,3.1915371,-9.480869,0.017125795,-12.119366,-4.5251985,0.86124134,122.02635650133993,1.024,750.8912347640147,1905.8762096426285,3259.7104825388465,7.391228199005127,78.4,0.508,0.995,0.933,0.976
Speaker1-2nd,ضوء,correct,-267.55368,140.1112,39.230927,29.022526,-14.073496,-18.476276,11.307085,-16.910315,-7.063284,-9.218864,-26.263275,-12.282577,129.5866728669222,0.512,763.84925849474,1718.076211015609,3149.125451133174,34.14622116088867,84.1,0.638,0.986,1.0,0.945
Speaker1-2nd,طريق,correct,-220.64873,104.13052,16.047104,12.627033,-12.105208,-8.399832,3.5160213,-19.465616,5.3719854,-10.623812,1.9454756,-4.321331,118.5558967759316,0.832,748.9417877415709,1818.545982538529,3180.847480301825,6.880330562591553,76.8,0.494,0.975,0.917,0.962
Speaker1-2nd,ظرف,correct,-231.30627,89.1425,8.971774,3.5345705,-6.4848747,-5.0935235,19.949373,-6.8961096,3.4565244,-5.3974543,-2.958072,2.136866,114.89964270842434,0.704,870.5245288517497,1899.411441583575,3186.6932053946844,4.9085235595703125,79.6,0.639,0.993,0.778,0.928
Speaker1-2nd,عربي,correct,-215.40712,114.39942,-11.39396,28.720327,-17.865162,1.5938463,17.80607,-2.626095,-4.609883,-4.7055483,-1.4290116,-9.596184,111.76334752425774,0.864,703.672672495595,1759.909936143003,3096.5582934743124,7.919411659240723,79.7,0.55,0.988,0.92,0.975
Speaker1-2nd,غرفة,correct,-231.3899,127.725105,-1.2450868,5.507187,-9.705198,-6.2158003,9.813745,-4.8064275,-0.69833195,-7.238145,-4.479885,-8.282533,121.06375664427827,0.8,734.723714141476,1777.7797046547817,3123.5669129078324,7.100897312164307,79.4,0.568,0.947,0.913,0.976
Speaker1-2nd,قلم,correct,-253.59175,115.68673,-16.161545,25.938663,2.8766599,5.1146846,3.0564368,-8.30742,12.019487,-18.407433,4.839098,-9.985813,109.12353854300083,0.64,819.5649350709857,1894.2741644063549,3192.7248653683005,5.480198383331299,80.1,0.606,0.983,0.889,0.919
